group_id,dataset,m,n,s,seed,method,UB,Time (s),SGap (%)
10,a8a,22696,123,5,27,IHT,0.5148452007471652,10.607298851013184,38.32066050685026
10,a8a,22696,123,5,27,PSS,0.3721836479093178,21.581737995147705,0.0
11,a8a,22696,123,10,23,AGP,0.35385380496880603,10.295202016830444,0.0
11,a8a,22696,123,10,23,IHT,0.3912468810090051,10.679399013519287,10.56439442528229
11,a8a,22696,123,10,23,PSS,0.35610540935479934,32.258967876434326,0.6361294480763514
11,a8a,22696,123,10,24,AGP,0.3483574868134079,1.6217520236968994,0.0
11,a8a,22696,123,10,24,IHT,0.37270249523109006,10.89253282546997,6.986507490573287
11,a8a,22696,123,10,24,PSS,0.3661646677315584,53.69048595428467,5.110287938134022
11,a8a,22696,123,10,25,AGP,0.3554279362033831,9.072301864624023,0.0
11,a8a,22696,123,10,25,IHT,0.37549168423950147,10.759050130844116,5.64336750871828
11,a8a,22696,123,10,25,PSS,0.3600810775686836,49.54226303100586,1.308797675645569
11,a8a,22696,123,10,26,AGP,0.3598814428679318,15.18912410736084,0.0
11,a8a,22696,123,10,26,IHT,0.37907935994802255,10.577528953552246,5.333029649290564
11,a8a,22696,123,10,26,PSS,0.36554725326717075,53.04453802108765,1.5739173536558144
11,a8a,22696,123,10,27,AGP,0.3599298232253376,8.965331792831421,1.811258891724168
11,a8a,22696,123,10,27,IHT,0.37907889516608373,11.347906827926636,7.226341185268866
11,a8a,22696,123,10,27,PSS,0.35352476325749765,45.05543112754822,0.0
12,a8a,22696,123,20,23,AGP,0.3372784297939954,14.586742162704468,0.0
12,a8a,22696,123,20,23,IHT,0.35896068395739655,11.228101968765259,6.4266865479931266
12,a8a,22696,123,20,23,PSS,0.3461152229808324,119.61981201171875,2.619252568171824
12,a8a,22696,123,20,24,AGP,0.337379432398732,4.753916025161743,0.0
12,a8a,22696,123,20,24,IHT,0.34602369797927596,11.363518953323364,2.5614199713156824
12,a8a,22696,123,20,24,PSS,0.345489755100873,94.39342904090881,2.403205032228042
12,a8a,22696,123,20,25,AGP,0.3372758412698344,17.247404098510742,0.0
12,a8a,22696,123,20,25,IHT,0.36969881166736784,10.9389328956604,9.610341474214048
12,a8a,22696,123,20,25,PSS,0.34368767853774923,137.93149995803833,1.9005027875681897
12,a8a,22696,123,20,26,AGP,0.3372784254070006,15.830790042877197,0.0
12,a8a,22696,123,20,26,IHT,0.35348801352778947,11.549661874771118,4.804571632354452
12,a8a,22696,123,20,26,PSS,0.34471516641240824,192.19596004486084,2.2042728418203503
12,a8a,22696,123,20,27,AGP,0.33820309943108817,15.82026481628418,0.0
12,a8a,22696,123,20,27,IHT,0.35656015036332955,11.434984922409058,5.42621423306844
12,a8a,22696,123,20,27,PSS,0.3432291475038429,540.2139840126038,1.4856642109418658
